OG0001871	macromolecule glycosylation
OG0005782	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP)
OG0002171	Core component of the splicing-dependent multiprotein exon junction complex (EJC) deposited at splice junctions on mRNAs
OG0006225	Belongs to the glycosyl hydrolase 5 (cellulase A) family
OG0004739	Catalyzes the 6-electron oxidation of protoporphyrinogen-IX to form protoporphyrin-IX
OG0000455	Adenylate and Guanylate cyclase catalytic domain
OG0000005	Kinesin family member 13A
OG0004663	Rhamnose biosynthetic enzyme
OG0005637	Calcium-dependent protein kinase
OG0000036	receptor-like protein kinase
OG0006458	racemase and epimerase activity, acting on carbohydrates and derivatives
OG0007141	Pfam:DUF2042
OG0004664	Belongs to the phosphoglycerate mutase family. BPG- dependent PGAM subfamily
OG0000075	oxidation-reduction process
OG0002583	Dynein light chain
OG0006214	chaperone binding
OG0002003	Belongs to the eukaryotic ribosomal protein P1 P2 family
OG0002229	Dpy-30 motif
OG0000922	ligase activity. It is involved in the biological process described with glutamyl-tRNA aminoacylation
OG0000723	Protein tyrosine kinase
OG0001648	Ras palmitoyltransferase activity
OG0000408	methyltransferase activity
OG0007358	Protein of unknown function (DUF2499)
OG0007728	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A
OG0006710	elongation factor-2 kinase activity
OG0002865	Domains in hypothetical proteins in Drosophila, C. elegans and mammals. Occurs singly in some nucleoside diphosphate kinases.
OG0000141	protease
OG0000767	Belongs to the fatty acid desaturase type 1 family
OG0000084	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28
OG0000237	protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation
OG0003595	phosphoserine phosphatase
OG0000226	Triosephosphate isomerase
OG0003752	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
OG0000376	PH domain
OG0002980	NAD(P)H-binding
OG0000746	Phosphoglycerate mutase family
OG0007512	5'-deoxyribose-5-phosphate lyase activity
OG0002002	GTPase involved in pre-60S ribosomal subunit maturation
OG0003237	Ribosomal protein S17
OG0001958	glycogen (starch) synthase activity
OG0006327	Malate/L-lactate dehydrogenase
OG0005803	elongation factor Tu
OG0007008	An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. Plays a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control
OG0004857	Source PGD
OG0003532	Family with sequence similarity 172 member A
OG0001876	stage V sporulation protein K
OG0002639	protein methylesterase activity
OG0003387	Purine nucleoside permease (NUP)
OG0005190	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
OG0000636	protein side chain deglutamylation
OG0000860	cation transport ATPase
OG0005790	hydrolase activity
OG0000601	RNA-binding protein 1
OG0001981	Pregnancy up-regulated nonubiquitous CaM kinase
OG0001358	Belongs to the STXBP unc-18 SEC1 family
OG0002421	Cyclic nucleotide-binding domain
OG0001470	Domain of unknown function DUF21
OG0007027	Ciliary basal body-associated, B9 protein
OG0003491	DNL zinc finger
OG0000777	Belongs to the DHHC palmitoyltransferase family
OG0003723	all-trans-retinol 13,14-reductase activity
OG0001027	Ulp1 protease family, C-terminal catalytic domain
OG0000145	palmitoyl-(protein) hydrolase activity
OG0005032	phosphoglycerate mutase. Source PGD
OG0000759	Dehydrogenase E1 component
OG0000594	Cupin superfamily protein
OG0001222	kinase-like protein
OG0007338	gamma-glutamylcyclotransferase activity
OG0004860	Calmodulin 1 (phosphorylase kinase, delta)
OG0005652	Belongs to the uroporphyrinogen decarboxylase family
OG0001462	40S ribosomal protein S24
OG0007730	oxidoreductase activity
OG0000004	Non-specific serine threonine protein kinase
OG0000207	ADP-ribosylation factor GTPase-activating protein
OG0006636	Bifunctional GMP synthase glutamine amidotransferase protein
OG0002194	SOUL heme-binding protein
OG0001874	Exhibits S-adenosyl-L-methionine-dependent methyltransferase activity
OG0006587	AAA domain (dynein-related subfamily)
OG0000296	Serine threonine-protein kinase
OG0002831	Specifically deglycosylates the denatured form of N- linked glycoproteins in the cytoplasm and assists their proteasome-mediated degradation. Cleaves the beta-aspartyl- glucosamine (GlcNAc) of the glycan and the amide side chain of Asn, converting Asn to Asp. Prefers proteins containing high- mannose over those bearing complex type oligosaccharides. Can recognize misfolded proteins in the endoplasmic reticulum that are exported to the cytosol to be destroyed and deglycosylate them, while it has no activity toward native proteins. Deglycosylation is a prerequisite for subsequent proteasome-mediated degradation of some, but not all, misfolded glycoproteins
OG0002944	Carrier of the growing fatty acid chain in fatty acid biosynthesis
OG0006014	Zinc finger AN1 domain-containing stress-associated protein
OG0004581	S-adenosyl-L-methionine transmembrane transport
OG0004574	Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back- translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner
OG0007436	polypeptide N-acetylgalactosaminyltransferase activity
OG0005645	Proteasome subunit beta
OG0004641	Tubulin-tyrosine ligase family
OG0003878	protein transport
OG0000809	Ribosomal protein L35Ae
OG0006020	Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis the synthesis of acetylglutamate from glutamate and acetyl-CoA, and of ornithine by transacetylation between acetylornithine and glutamate
OG0001771	Glutathione S-transferase, N-terminal domain
OG0002241	Zgc 163014
OG0006857	translation release factor activity
OG0002299	ADP-ribosylglycohydrolase
OG0000600	Protein tyrosine kinase
OG0005589	Minichromosome maintenance 8 homologous recombination repair factor
OG0006190	-
OG0004724	Cytochrome C
OG0000166	lysyl-tRNA aminoacylation
OG0006557	N-alpha-acetyltransferase
OG0002785	Protein phosphatase 2C
OG0002321	protein serine/threonine phosphatase activity
OG0000320	Binds the poly(A) tail of mRNA
OG0000826	nuclear-transcribed mRNA catabolic process, no-go decay
OG0004690	Belongs to the MIP aquaporin (TC 1.A.8) family
OG0001373	Cyclin
OG0003630	Belongs to the V-ATPase proteolipid subunit family
OG0006268	Bacterial lipoate protein ligase C-terminus
OG0003408	ABC1 family
OG0001583	cellular response to interleukin-11
OG0003827	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
OG0000840	Calcium-binding protein
OG0003692	E3 ubiquitin-protein ligase
OG0006110	Beta-Casp domain
OG0000157	Multidrug resistance-associated protein
OG0001529	Belongs to the FPP GGPP synthase family
OG0002201	Ribosomal protein S12/S23
OG0000267	non-haem dioxygenase in morphine synthesis N-terminal
OG0005720	base-excision repair, AP site formation via deaminated base removal
OG0001015	Histidyl-tRNA synthetase
OG0001554	regulation of choline O-acetyltransferase activity
OG0004143	Belongs to the eukaryotic-type primase small subunit family
OG0001675	Removes the formyl group from the N-terminal Met of newly synthesized proteins
OG0002617	PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin
OG0000925	protein kinase activity
OG0007448	oxidoreductase activity
OG0000031	Pseudouridine synthase, RluA family
OG0000569	Aspartyl/Asparaginyl beta-hydroxylase
OG0003924	Phosphoribosylglycinamide synthetase. Source PGD
OG0001610	YT521-B-like domain
OG0003617	Tetratricopeptide repeat
OG0006049	motif in proteasome subunits, Int-6, Nip-1 and TRIP-15
OG0002014	protein serine/threonine phosphatase activity
OG0000058	linker protein
OG0006808	GDP-mannose 4,6-dehydratase activity
OG0007113	Conserved region in glutamate synthase
OG0006887	D-serine ammonia-lyase activity
OG0004069	Radial spokehead-like protein
OG0004786	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Helps release RbfA from mature subunits. May play a role in the assembly of ribosomal proteins into the subunit. Circularly permuted GTPase that catalyzes slow GTP hydrolysis, GTPase activity is stimulated by the 30S ribosomal subunit
OG0004911	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
OG0000440	alpha beta
OG0000708	COGs COG0607 Rhodanese-related sulfurtransferase
OG0005657	E3 ubiquitin-protein ligase
OG0005048	Major Facilitator Superfamily
OG0002890	Acyl CoA binding protein
OG0000559	oxidoreductase activity
OG0005773	ABC transporter
OG0002737	oxidoreductase activity, acting on superoxide radicals as acceptor
OG0005700	AFG1-like ATPase
OG0001648	Belongs to the DHHC palmitoyltransferase family
OG0001380	PFAM Sodium hydrogen exchanger family
OG0002379	cilium movement involved in cell motility
OG0007557	DnaJ molecular chaperone homology domain
OG0002892	AN1-like Zinc finger
OG0005265	HAD-hyrolase-like
OG0000583	Catalytic subunit of the tRNA-splicing ligase complex that acts by directly joining spliced tRNA halves to mature-sized tRNAs by incorporating the precursor-derived splice junction phosphate into the mature tRNA as a canonical 3',5'- phosphodiester. May act as a RNA ligase with broad substrate specificity, and may function toward other RNAs
OG0001381	Protein phosphatase, Mg2 Mn2 dependent, 1Na
OG0007219	Specifically catalyzes the NAD or NADP-dependent dehydrogenation of L-aspartate to iminoaspartate
OG0004297	RNA polymerase subunit CX
OG0002044	TatD related DNase
OG0007543	Oxidoreductase family, NAD-binding Rossmann fold
OG0000680	Pumilio-family RNA binding repeat
OG0000799	factor 1 alpha subunit inhibitor
OG0002534	Plays a role in valine and pyrimidine metabolism. Binds fatty acyl-CoA (By similarity)
OG0006109	Thylakoid lumenal 15.0 kDa protein 2
OG0000124	Astacin (Peptidase family M12A)
OG0003858	methenyltetrahydrofolate synthetase domain containing
OG0001162	DNA polymerase A domain
OG0000224	RNA recognition motif 2 family protein
OG0001034	Deltex 3 like, E3 ubiquitin ligase
OG0000645	Mitochondrial carrier
OG0000181	Oligosaccharyl transferase STT3 subunit
OG0003205	mago binding
OG0001010	cell redox homeostasis
OG0002585	Protein kinase domain
OG0000296	Di-glucose binding within endoplasmic reticulum
OG0000051	proteasome-activating ATPase activity
OG0004201	Opioid growth factor receptor (OGFr) conserved region
OG0000719	Monomeric isocitrate dehydrogenase
OG0005867	ATP phosphoribosyltransferase activity
OG0000474	Receptor family ligand binding region
OG0006865	Protein of unknown function (DUF2838)
OG0006930	peripheral T cell tolerance induction
OG0001269	ER lumen protein-retaining receptor
OG0004429	3-beta hydroxysteroid dehydrogenase/isomerase family
OG0001679	PFAM acyl-coA-binding protein, ACBP
OG0006256	Serine hydrolase involved in the detoxification of formaldehyde
OG0005284	Beta-carotene isomerase D27
OG0002712	3-isopropylmalate dehydrogenase activity
OG0006946	Endonuclease exonuclease phosphatase family protein
OG0005430	ATP-binding Cassette (ABC) Superfamily. Source PGD
OG0001427	Non-specific serine threonine protein kinase
OG0007515	positive regulation of telomerase RNA localization to Cajal body
OG0000345	minus-end-directed vesicle transport along microtubule
OG0006653	Cilia and flagella associated protein 36
OG0000150	Encoded by
OG0002052	protein with SCP PR1 domains
OG0005306	peptidyl-arginine hydroxylation
OG0000403	adenylate kinase activity
OG0007525	acetate kinase
OG0004949	Peptidyl-prolyl cis-trans
OG0001442	X-domain of DnaJ-containing
OG0005670	Ran GTPase binding
OG0000004	Protein tyrosine kinase
OG0007295	Peptidylprolyl isomerase
OG0002460	Sodium glucose cotransporter. Source PGD
OG0001390	Pyridine nucleotide-disulphide oxidoreductase
OG0001837	Protein kinase A catalytic subunit isoform
OG0002470	Methyltransferase
OG0007111	left/right axis specification
OG0007085	High-affinity nickel-transport family protein
OG0005125	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
OG0000800	XPG N-terminal
OG0005844	Aldo/keto reductase family
OG0002234	peptidylprolyl isomerase
OG0000321	GTPase activating protein Gyp51
OG0007324	iron-sulfur transferase activity
OG0003562	Belongs to the glycosyl hydrolase 5 (cellulase A) family
OG0004646	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
OG0001340	Flavin-binding monooxygenase-like
OG0005648	Belongs to the short-chain dehydrogenases reductases (SDR) family
OG0000392	Source PGD
OG0006875	spectrin binding
OG0003477	ubiquitin-protein transferase activity
OG0003540	Non-ribosomal peptide synthetase modules and related proteins
OG0007592	Destroys radicals which are normally produced within the cells and which are toxic to biological systems
OG0001106	Lipid phosphate phosphatase epsilon
OG0003001	Ion transport protein
OG0005380	ornithine carbamoyltransferase activity
OG0002641	ribosomal RNA small subunit methyltransferase
OG0002413	Epsin N-terminal homology (ENTH) domain
OG0005023	hydrolase activity, hydrolyzing O-glycosyl compounds
OG0000304	Protein tyrosine kinase
OG0005149	UDP-glucuronate decarboxylase activity
OG0002477	Carbon-nitrogen hydrolase
OG0000938	Belongs to the cytochrome b5 family
OG0004088	beta-fructofuranosidase activity
OG0002315	COG2513 PEP phosphonomutase and related enzymes
OG0000788	GTPase activity
OG0005031	COG3119 Arylsulfatase A and related enzymes
OG0000057	Mitogen-activated protein kinase kinase kinase
OG0003663	Belongs to the arylamine N-acetyltransferase family
OG0007668	MAP kinase kinase activity
OG0003593	Serine/Threonine protein kinases, catalytic domain
OG0007173	Thioredoxin
OG0000025	Belongs to the small GTPase superfamily. Arf family
OG0001206	Poly A polymerase regulatory subunit
OG0000565	iron ion binding
OG0000503	Chlamydia CHLPS protein (DUF818)
OG0000202	GNT-I family
OG0001867	FHA domain
OG0007009	Malate dehydrogenase
OG0002139	proteinase
OG0002678	binding. It is involved in the biological process described with RNA processing
OG0007516	Taurine catabolism dioxygenase TauD, TfdA family
OG0006712	Hydroxymethylglutaryl-coenzyme A reductase
OG0001409	Protein transport protein Sec61
OG0000439	Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family
OG0002161	ubiquitin-protein transferase activity
OG0004197	non-ribosomal peptide synthetase
OG0001381	Protein phosphatase, Mg2 Mn2 dependent 1B
OG0004225	Trna 2-selenouridine synthase
OG0005540	Elongation factor P (EF-P) OB domain
OG0000584	MCM-domain-containing protein
OG0003687	Beta 1,3-galactosyltransferase-like
OG0003864	Belongs to the GST superfamily
OG0000451	1-phosphatidylinositol-4-phosphate 5-kinase activity
OG0004206	Uncharacterized protein family UPF0016
OG0004841	CDP-alcohol phosphatidyltransferase. Source PGD
OG0000425	ATP-dependent DNA helicase RecQ
OG0001006	Carboxylesterase family
OG0001635	to Saccharomyces cerevisiae NSR1 (YGR159C)
OG0002875	Inositol monophosphatase family
OG0002970	Belongs to the DHHC palmitoyltransferase family
OG0006815	Ras family
OG0005913	transmembrane transporter activity
OG0006642	Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases.
OG0006431	Ricin-type beta-trefoil
OG0005533	Carbohydrate esterase, sialic acid-specific acetylesterase
OG0006879	Tat binding protein 1(TBP-1)-interacting protein (TBPIP)
OG0004527	transferase activity, transferring acyl groups
OG0005456	Pyruvate dehydrogenase kinase
OG0005227	acetyltransferase, which acetylates the inositol ring of phosphatidylinositol during biosynthesis of GPI- anchor
OG0007386	Inner membrane component of T3SS, cytoplasmic domain
OG0001522	GTPase activity
OG0001142	Replication factor C subunit
OG0004597	X-Pro dipeptidyl-peptidase (S15 family)
OG0002047	pyrimidine deoxyribonucleoside monophosphate catabolic process
OG0002861	Belongs to the cullin family
OG0001999	Ferredoxin-fold anticodon binding domain
OG0003929	positive regulation of catalytic activity in other organism involved in symbiotic interaction
OG0002734	heat shock protein binding
OG0006168	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
OG0007249	Glycosyl hydrolases family 16
OG0000040	calmodulin-dependent cyclic-nucleotide phosphodiesterase activity
OG0004851	protein transport
OG0006723	snRNA import into nucleus
OG0001732	UDP-glucose 6-dehydrogenase
OG0004839	2-nitropropane dioxygenase
OG0006811	symporter activity
OG0000447	Transhydrogenase
OG0006436	calcium-dependent protein kinase
OG0001197	Oxidoreductase activity. It is involved in the biological process described with metabolic process
OG0001824	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs
OG0003894	toxin transport
OG0000754	Protein of unknown function (DUF933)
OG0005515	Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
OG0004245	regulation of cardiac conduction
OG0000565	heme binding. It is involved in the biological process described with oxidation-reduction process
OG0003645	Metallophosphoesterase
OG0003507	oxidoreductase activity
OG0003741	May be involved in fusion of retrograde transport vesicles derived from an endocytic compartment with the Golgi complex
OG0006677	The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis
OG0000828	Glycosyl hydrolase family 81
OG0004981	UbiA prenyltransferase family
OG0000595	Introduces a single-strand break via transesterification at a target site in duplex DNA. Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand
OG0000780	Cytidylyltransferase-like
OG0001293	Sucrose transport
OG0006213	protein folding in endoplasmic reticulum
OG0000593	Belongs to the eukaryotic ribosomal protein eS21 family
OG0005849	5'(3')-deoxyribonucleotidase, cytosolic type
OG0001052	glutathione transferase activity
OG0001982	protein folding
OG0001835	Trehalase (brush-border membrane glycoprotein)
OG0003712	COG0607 Rhodanese-related sulfurtransferase
OG0002469	IMP4 family U3 small nucleolar ribonucleoprotein (snoRNP)
OG0000872	ICE family protease (Caspase) p20 domain-containing protein
OG0000074	potassium channel protein
OG0004891	oxidoreductase activity
OG0004872	RNA recognition motif 2
OG0002481	protein O-linked glycosylation via threonine
OG0001274	Glycosyltransferase family 28 N-terminal domain
OG0005591	peptidyl-prolyl cis-trans isomerase
OG0006133	Belongs to the universal ribosomal protein uL14 family
OG0003535	-
OG0001938	positive regulation of polynucleotide adenylyltransferase activity
OG0001586	Sodium/hydrogen exchanger family
OG0000625	peptidase inhibitor activity
OG0007103	NADPH-adrenodoxin reductase activity
OG0004547	Belongs to the DHHC palmitoyltransferase family
OG0002052	Cysteine-rich secretory protein family
OG0001637	Fatty acid desaturase
OG0005108	hydrolase activity
OG0004468	histidinol-phosphate transaminase activity
OG0001887	Belongs to the argininosuccinate synthase family. Type
OG0000454	Beta-ketoacyl synthase, N-terminal domain
OG0004743	protoporphyrinogen oxidase activity
OG0005322	Belongs to the Nudix hydrolase family
OG0002855	protein disulfide oxidoreductase activity
OG0000510	Nuclear chaperone required for maturation and nuclear export of pre-60S ribosome subunits
OG0001523	FH protein interacting protein
OG0005085	Belongs to the SKP1 family
OG0001533	calcium, potassium:sodium antiporter activity
OG0003244	Glycosyltransferase like family 2
OG0000495	Belongs to the SKP1 family
OG0002236	hydrolase
OG0004578	Pyridoxal phosphate phosphatase. Source PGD
OG0000265	PPP5 TPR repeat region
OG0003384	regulation of cilium movement
OG0001203	FAD dependent oxidoreductase
OG0000078	serine-type endopeptidase activity
OG0003916	Histone deacetylase complex subunit
OG0004175	FK506 binding
OG0000314	protein serine/threonine kinase activity
OG0002962	ANTH domain
OG0002940	Beta2-adaptin appendage, C-terminal sub-domain
OG0006221	CRM1 C terminal
OG0004563	TBC1 domain family member
OG0005040	neurotransmitter:sodium symporter activity
OG0007560	Belongs to the aldehyde dehydrogenase family
OG0000459	low voltage-gated calcium channel activity
OG0002352	X-domain of DnaJ-containing
OG0005068	Fibronectin type III-like domain
OG0005129	EF-hand domain
OG0001071	lipoprotein localization
OG0000648	Belongs to the PI3 PI4-kinase family
OG0001607	catalytic domain of ctd-like phosphatases
OG0000015	ATP-dependent RNA helicase involved nonsense-mediated mRNA decay and ribosome biogenesis through rRNA processing
OG0001093	sulfuric ester hydrolase activity
OG0000387	Belongs to the ubiquitin-activating E1 family
OG0000170	Pfam 01975 MraW methylase family Members of this family are probably SAM dependent methyltransferases based on Swiss P18595 1 . This family appears to be related to Methyltransf_3 pfam 01596
OG0003269	peptidyl-tRNA hydrolase
OG0000139	polypeptide N-acetylgalactosaminyltransferase activity
OG0005758	Chlorophyll A-B binding protein
OG0002791	transporter component
OG0007437	serine-type peptidase activity
OG0006002	Drug Metabolite Transporter (DMT) Superfamily. Source PGD
OG0002000	digalactosyldiacylglycerol synthase activity
OG0000442	Von Willebrand factor A
OG0005441	N-terminal domain of ribose phosphate pyrophosphokinase
OG0001629	poly(U) RNA binding
OG0000941	2-nitropropane dioxygenase
OG0001614	snRNP Sm proteins
OG0000836	DegT/DnrJ/EryC1/StrS aminotransferase family
OG0000224	RNA-binding protein mei2 homologue
OG0002864	DNA-directed RNA polymerases II, IV and V subunit 3-like
OG0007603	regulation of tocopherol cyclase activity
OG0007559	Aminotransferase class I and II
OG0003246	Belongs to the ubiquitin-conjugating enzyme family
OG0002149	Ankyrin repeats (many copies)
OG0007072	phosphatase 2C
OG0002780	ribonuclease III activity
OG0006618	Zinc finger AN1 and C2H2 domain-containing stress-associated protein
OG0001439	oxidative phosphorylation uncoupler activity
OG0007676	bile acid:sodium symporter activity
OG0007708	Elongation factor G C-terminus
OG0001969	homolog subfamily C member
OG0003031	ATP-dependent helicase hrq1
OG0002677	Trichohyalin-plectin-homology domain
OG0004665	protein-cysteine S-palmitoyltransferase activity
OG0000174	NADPH-hemoprotein reductase activity
OG0001247	Region found in RelA / SpoT proteins
OG0000240	ABC transporter maintaining outer membrane lipid asymmetry
OG0003698	Glycosyl transferases group 1
OG0001398	Belongs to the DEAD box helicase family
OG0004544	KRI1 homolog
OG0000255	Abc1 domain protein
OG0007202	Ankyrin repeats (many copies)
OG0004525	Si ch211-224b1.4
OG0000949	Belongs to the universal ribosomal protein uL22 family
OG0007092	serine-type peptidase activity
OG0005193	Fatty acid hydroxylase superfamily
OG0001150	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
OG0005168	Glycosyl hydrolases family 2, TIM barrel domain
OG0005445	Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family
OG0001753	lipase class 3
OG0005016	PFAM PsaD
OG0006017	peroxisomal biogenesis factor 7
OG0002569	Rad23 Rhp23
OG0004576	translocase SecY
OG0002850	Epidermal growth factor receptor
OG0004078	Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif
OG0000453	Belongs to the isocitrate lyase PEP mutase superfamily. Isocitrate lyase family
OG0005884	-
OG0001920	Pyruvate dehydrogenase
OG0002743	Ribosomal protein L30
OG0000699	Wall-associated receptor kinase C-terminal
OG0005411	ABC transporter transmembrane region
OG0005659	NDC80 homolog, kinetochore complex component (S. cerevisiae)
OG0003941	cysteine-type peptidase activity
OG0002761	RAP domain
OG0001080	Belongs to the phosphatase 2A regulatory subunit
OG0001577	Serine/threonine phosphatases, family 2C, catalytic domain
OG0000883	Long chain acyl-CoA synthetase
OG0001855	dynein heavy chain binding
OG0005140	ubiE/COQ5 methyltransferase family
OG0001157	ATP-dependent helicase, RECQ family protein. Source PGD
OG0001214	AMP-binding enzyme C-terminal domain
OG0000365	peptide-methionine (S)-S-oxide reductase activity
OG0000098	Peptidyl-prolyl cis-trans isomerase
OG0005196	Ran GTPase binding. It is involved in the biological process described with intracellular protein transport
OG0001505	PFAM Phosphoglycerate mutase
OG0002170	-
OG0006647	C-5 cytosine-specific DNA methylase
OG0000034	Helicase
OG0005952	PFAM Alcohol dehydrogenase zinc-binding domain protein
OG0000317	Aminotransferase class-III
OG0002219	Belongs to the small Tim family
OG0002623	Belongs to the DEAD box helicase family
OG0000652	calmodulin-dependent protein kinase activity
OG0005688	PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin cytochrome c6-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin or cytochrome c6
OG0005201	Acetyl-coenzyme A synthetase
OG0001991	Alpha-L-fucosidase
OG0006462	Catalyzes the conversion of maleate to fumarate
OG0006193	Zn-finger in ubiquitin-hydrolases and other protein
OG0007492	E3 ubiquitin-protein ligase
OG0000859	tRNA methyltransferase activity
OG0001976	Methyltransferase domain
OG0007354	Multidrug and toxin extrusion
OG0000926	SPTR Pathogenesis related protein-like protein
OG0005210	[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity
OG0006070	Glycosyl hydrolase family 3 N-terminal domain protein
OG0006513	Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
OG0001240	Dual specificity phosphatase, catalytic domain
OG0000804	Cation transporting ATPase, C-terminus
OG0001597	helicase superfamily c-terminal domain
OG0003942	Haloacid dehalogenase-like hydrolase
OG0001644	BTB POZ and MATH domain-containing protein
OG0005388	notchless protein
OG0000672	DNA ligase
OG0006287	phosphoprotein phosphatase activity
OG0006067	D-alanine [D-alanyl carrier protein] ligase activity
OG0006143	Sodium/calcium exchanger protein
OG0006258	RAC-beta serine threonine-protein
OG0002268	Leucine carboxyl methyltransferase. Source PGD
OG0001105	DNA-(apurinic or apyrimidinic site) lyase
OG0003431	sucrose synthase activity
OG0003243	Belongs to the aldehyde dehydrogenase family
OG0000215	COG5265 ABC-type transport system involved in Fe-S cluster assembly permease and ATPase components
OG0003847	glutathione S-conjugate-transporting ATPase activity
OG0002205	cysteine-type endopeptidase inhibitor activity
OG0002638	short chain dehydrogenase
OG0001228	containing 2
OG0002475	Belongs to the protein kinase superfamily
OG0005127	translation initiation
OG0007038	-
OG0004684	Ribosomal L28 family
OG0004990	endosome to lysosome transport via multivesicular body sorting pathway
OG0006013	P-loop containing nucleoside triphosphate hydrolase protein
OG0006805	aspartic-type endopeptidase activity
OG0001686	iron ion binding
OG0001581	ER-associated misfolded protein catabolic process
OG0005277	plant-type cell wall cellulose biosynthetic process
OG0001975	Belongs to the eukaryotic ribosomal protein eL6 family
OG0001250	Isoprenylcysteine alpha-carbonyl methylesterase
OG0004698	dipeptidyl-peptidase activity
OG0003686	poly(A)-specific ribonuclease activity
OG0005889	NEDD8 activating enzyme activity
OG0006121	5' nucleotidase family
OG0001103	phosphatidylethanolamine metabolic process
OG0005716	Bacterial extracellular solute-binding proteins, family 5 Middle
OG0001674	cysteine-type peptidase activity
OG0002009	with coiled-coils
OG0006599	Catalyzes the conversion of 3-deoxy-D-arabino- heptulosonate 7-phosphate (DAHP) to dehydroquinate (DHQ)
OG0007137	Peptidase family M23
OG0006754	FK506 binding
OG0005331	pyrimidine nucleotide-sugar transmembrane transporter activity
OG0000261	Glycosyl transferase family
OG0001746	all-trans-retinol 13,14-reductase activity
OG0007276	Aminotransferase, class I
OG0006973	N-terminal domain of CBF1 interacting co-repressor CIR
OG0006792	Involved in the retrieval of endoplasmic reticulum membrane proteins from the early Golgi compartment
OG0003514	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate
OG0003842	zinc-finger of a C2HC-type
OG0006800	Belongs to the glutaredoxin family
OG0001142	Replication factor RFC1 C terminal domain
OG0000166	Catalyzes the attachment of L-aspartate to tRNA(Asp) in a two-step reaction L-aspartate is first activated by ATP to form Asp-AMP and then transferred to the acceptor end of tRNA(Asp)
OG0004231	ABC-2 type transporter
OG0004001	adenine phosphoribosyltransferase activity
OG0001154	UDP-N-acetylglucosamine diphosphorylase activity
OG0001300	Belongs to the peptidase M16 family
