OG0002766	Durusdinium17035	K14569
OG0000727	Durusdinium37189	K02940
OG0000331	Durusdinium32519	K04910
OG0007285	Durusdinium36507	K18534
OG0002930	Durusdinium26140	K02737
OG0001193	Durusdinium5929	K11131
OG0000726	Durusdinium54765	K10408
OG0000644	Durusdinium22770	K20278
OG0007428	Durusdinium19027	K13412
OG0000137	Durusdinium14773	K03696
OG0005773	Durusdinium17880	K06148
OG0000963	Durusdinium36660	K23490
OG0000202	Durusdinium48966	K00726
OG0000837	Durusdinium25655	K00831
OG0000579	Durusdinium27482	K14944
OG0003345	Durusdinium18950	K04851
OG0001111	Durusdinium37052	K08869
OG0007241	Durusdinium34323	K25792
OG0001601	Durusdinium323	K14963
OG0002605	Durusdinium25515	K00789
OG0000452	Durusdinium35438	K08745
OG0000207	Durusdinium31820	K12492
OG0005214	Durusdinium42780	K13412
OG0006351	Durusdinium38640	K00130
OG0000870	Durusdinium30840	K05841
OG0002008	Durusdinium28859	K12196
OG0001945	Durusdinium33020	K04799
OG0003987	Durusdinium46295	K10639
OG0000033	Durusdinium31476	K10860
OG0001306	Durusdinium6664	K21435
OG0000052	Durusdinium21553	K04739
OG0007401	Durusdinium40321	K10669
OG0005920	Durusdinium38276	K08844
OG0003444	Durusdinium36281	K07566
OG0000246	Durusdinium25110	K03259
OG0005195	Durusdinium24738	K17278
OG0002756	Durusdinium38634	K04977
OG0001304	Durusdinium30810	K05330
OG0000221	Durusdinium52920	K16675
OG0007222	Durusdinium9091	K09259
OG0007201	Durusdinium26403	K07374
OG0001621	Durusdinium31729	K00797
OG0000281	Durusdinium35366	K09255
OG0003630	Durusdinium10999	K03661
OG0000603	Durusdinium38985	K01379
OG0000000	Durusdinium27304	K00545
OG0007141	Durusdinium25075	K22755
OG0004222	Durusdinium26821	K04460
OG0000569	Durusdinium31167	K00476
OG0001597	Durusdinium6231	K05592
OG0003166	Durusdinium47030	K13649
OG0005753	Durusdinium9907	K08764
OG0007662	Durusdinium55559	K10418
OG0005001	Durusdinium44674	K16639
OG0001213	Durusdinium22181	K06694
OG0006074	Durusdinium6820	K20346
OG0000003	Durusdinium30481	K09255
OG0000183	Durusdinium39694	K07376
OG0006853	Durusdinium13853	K21878
OG0000903	Durusdinium23966	K19513
OG0000677	Durusdinium47324	K12622
OG0002834	Durusdinium25289	K17943
OG0000309	Durusdinium15318	K22762
OG0004977	Durusdinium54274	K01379
OG0000913	Durusdinium30127	K07874
OG0000303	Durusdinium42830	K14413
OG0004302	Durusdinium3008	K09022
OG0002479	Durusdinium29285	K18726
OG0000803	Durusdinium19757	K17506
OG0000669	Durusdinium29369	K09571
OG0000004	Durusdinium4944	K13412
OG0000060	Durusdinium19882	K24764
OG0001438	Durusdinium37369	K13696
OG0000315	Durusdinium38248	K02256
OG0005691	Durusdinium529	K12445
OG0001644	Durusdinium34171	K10523
OG0000358	Durusdinium37190	K03854
OG0006636	Durusdinium29495	K01951
OG0000163	Durusdinium37706	K15665
OG0005554	Durusdinium23900	K00812
OG0005222	Durusdinium14852	K12410
OG0007192	Durusdinium37071	K19613
OG0001017	Durusdinium13061	K12736
OG0000208	Durusdinium41059	K22745
OG0006938	Durusdinium36926	K19951
OG0002503	Durusdinium30707	K00472
OG0000647	Durusdinium30305	K15283
OG0002562	Durusdinium37592	K11968
OG0006579	Durusdinium27834	K01751
OG0001646	Durusdinium17178	K09773
OG0001561	Durusdinium39947	K00921
OG0000080	Durusdinium37955	K14379
OG0003408	Durusdinium17051	K08869
OG0001935	Durusdinium42289	K13566
OG0003982	Durusdinium39824	K24737
OG0000792	Durusdinium14878	K06180
OG0000296	Durusdinium16472	K14510
OG0003494	Durusdinium8766	K14944
OG0000524	Durusdinium9115	K15516
OG0002813	Durusdinium12395	K18655
OG0001359	Durusdinium32680	K16726
OG0000823	Durusdinium41362	K12440
OG0000359	Durusdinium29054	K10799
OG0001148	Durusdinium29262	K07466
OG0004897	Durusdinium25082	K17893
OG0001197	Durusdinium42176	K11150
OG0002054	Durusdinium27584	K02935
OG0003301	Durusdinium26624	K14838
OG0002034	Durusdinium33697	K00599
OG0001919	Durusdinium4388	K20027
OG0006974	Durusdinium39948	K22377
OG0001629	Durusdinium32656	K14411
OG0001622	Durusdinium41588	K00036
OG0006953	Durusdinium11883	K14652
OG0006758	Durusdinium26473	K04740
OG0006290	Durusdinium54574	K01265
OG0002954	Durusdinium33318	K20069
OG0002649	Durusdinium26733	K00045
OG0006725	Durusdinium38853	K09255
OG0002914	Durusdinium345	K03130
OG0007342	Durusdinium15101	K25166
OG0006617	Durusdinium37687	K00799
OG0006258	Durusdinium29241	K04456
OG0001090	Durusdinium37295	K22372
OG0005365	Durusdinium30587	K17943
OG0002369	Durusdinium19500	K23909
OG0006352	Durusdinium29829	K01652
OG0000319	Durusdinium48096	K03773
OG0006000	Durusdinium26356	K02150
OG0003442	Durusdinium39507	K07074
OG0001847	Durusdinium34744	K01254
OG0001266	Durusdinium18337	K00604
OG0001039	Durusdinium34305	K12837
OG0001855	Durusdinium3849	K24723
OG0001447	Durusdinium19025	K06515
OG0000061	Durusdinium26790	K04855
OG0002723	Durusdinium21442	K01259
OG0000577	Durusdinium600	K04905
OG0000256	Durusdinium43737	K08794
OG0003356	Durusdinium18393	K13121
OG0000314	Durusdinium13447	K08794
OG0006892	Durusdinium38023	K13179
OG0002609	Durusdinium17070	K25546
OG0000434	Durusdinium17453	K14501
OG0000647	Durusdinium12993	K15283
OG0000046	Durusdinium21615	K10380
OG0004747	Durusdinium4815	K14638
OG0003242	Durusdinium52380	K21440
OG0001622	Durusdinium37435	K00036
OG0000033	Durusdinium29527	K10860
OG0007173	Durusdinium4317	K03671
OG0006328	Durusdinium19292	K15275
OG0003621	Durusdinium32184	K00387
OG0002255	Durusdinium52349	K13293
OG0001300	Durusdinium39763	K25894
OG0006626	Durusdinium32899	K10277
OG0001402	Durusdinium29634	K24729
OG0006355	Durusdinium37009	K01768
OG0001837	Durusdinium28379	K07376
OG0001388	Durusdinium25575	K22207
OG0004063	Durusdinium29585	K26954
OG0001354	Durusdinium34606	K17632
OG0000395	Durusdinium36669	K08838
OG0003460	Durusdinium6724	K24353
OG0005585	Durusdinium40087	K14442
OG0000244	Durusdinium10251	K11412
OG0000134	Durusdinium30493	K12323
OG0003228	Durusdinium54295	K14407
OG0002733	Durusdinium25426	K11717
OG0001409	Durusdinium18353	K10956
OG0001283	Durusdinium26135	K01872
OG0000477	Durusdinium28908	K13303
OG0000188	Durusdinium37356	K14802
OG0000080	Durusdinium37723	K14379
OG0006840	Durusdinium32288	K16602
OG0000569	Durusdinium4831	K00476
OG0001865	Durusdinium8603	K00750
OG0006200	Durusdinium32584	K18740
OG0005994	Durusdinium46587	K10203
OG0002913	Durusdinium28399	K09486
OG0004668	Durusdinium46374	K05812
OG0002989	Durusdinium36067	K07562
OG0002482	Durusdinium41017	K10396
OG0002379	Durusdinium15160	K19757
OG0000979	Durusdinium25644	K24725
OG0000052	Durusdinium54975	K04739
OG0002961	Durusdinium38168	K24175
OG0002777	Durusdinium12963	K10380
OG0000017	Durusdinium15920	K04905
OG0002336	Durusdinium25500	K27856
OG0000671	Durusdinium18354	K05012
OG0003715	Durusdinium33283	K07512
OG0000274	Durusdinium23827	K05016
OG0006649	Durusdinium20260	K03762
OG0004412	Durusdinium34368	K07238
OG0001030	Durusdinium25955	K24992
OG0000214	Durusdinium34293	K14993
OG0004124	Durusdinium26689	K02088
OG0000384	Durusdinium38679	K08150
OG0002981	Durusdinium49062	K00876
OG0000003	Durusdinium30748	K09255
OG0000374	Durusdinium10943	K11264
OG0005439	Durusdinium52549	K02371
OG0000132	Durusdinium27690	K01673
OG0000652	Durusdinium15774	K08805
OG0000082	Durusdinium49858	K24103
OG0006102	Durusdinium35861	K15272
OG0000831	Durusdinium37622	K05016
OG0000482	Durusdinium39381	K11804
OG0006015	Durusdinium16377	K09660
OG0003024	Durusdinium40464	K03809
OG0001398	Durusdinium34900	K13177
OG0000858	Durusdinium10669	K22182
OG0001906	Durusdinium39990	K03555
OG0002323	Durusdinium38496	K04958
OG0002783	Durusdinium16338	K01251
OG0002065	Durusdinium31636	K13126
OG0006773	Durusdinium43934	K12621
OG0005388	Durusdinium42825	K14855
OG0007666	Durusdinium12459	K10380
OG0003078	Durusdinium22077	K00908
OG0001876	Durusdinium31733	K06413
OG0000726	Durusdinium26639	K10408
OG0003265	Durusdinium23491	K01358
OG0002647	Durusdinium38517	K00314
OG0005863	Durusdinium32411	K00626
OG0000238	Durusdinium13126	K00600
OG0006178	Durusdinium15790	K18327
OG0005774	Durusdinium49823	K12199
OG0001408	Durusdinium43299	K15272
OG0001494	Durusdinium3953	K09649
OG0007420	Durusdinium22906	K10260
OG0007146	Durusdinium32253	K04373
OG0006923	Durusdinium34411	K06173
OG0001329	Durusdinium24425	K04459
OG0000003	Durusdinium3925	K09259
OG0000063	Durusdinium39866	K00545
OG0004966	Durusdinium42019	K21813
OG0000524	Durusdinium29463	K15516
OG0000210	Durusdinium37521	K05516
OG0002768	Durusdinium27294	K06173
OG0002472	Durusdinium15565	K01408
OG0002237	Durusdinium9773	K05021
OG0003782	Durusdinium10582	K09645
OG0000016	Durusdinium30026	K06180
OG0002097	Durusdinium26142	K10481
OG0001381	Durusdinium8291	K04461
OG0000375	Durusdinium40297	K25739
OG0004118	Durusdinium43416	K10380
OG0001380	Durusdinium34159	K26730
OG0005596	Durusdinium20056	K10583
OG0000583	Durusdinium38988	K13093
OG0007529	Durusdinium44526	K02183
OG0000316	Durusdinium7033	K00088
OG0001254	Durusdinium32479	K10464
OG0000591	Durusdinium38742	K22754
OG0003328	Durusdinium45028	K12460
OG0006079	Durusdinium18786	K16345
OG0000966	Durusdinium38855	K10863
OG0000354	Durusdinium54628	K19704
OG0005355	Durusdinium10931	K13108
OG0005006	Durusdinium29910	K00556
OG0000976	Durusdinium2378	K15335
OG0002600	Durusdinium55071	K14548
OG0000631	Durusdinium36990	K11296
OG0001913	Durusdinium17145	K08830
OG0001943	Durusdinium35961	K18643
OG0006327	Durusdinium4196	K05884
OG0005433	Durusdinium33145	K14963
OG0003433	Durusdinium8742	K00140
OG0003424	Durusdinium49534	K02183
OG0000859	Durusdinium7285	K15336
OG0005674	Durusdinium1441	K22991
OG0002688	Durusdinium41036	K02110
OG0002386	Durusdinium36999	K24041
OG0007487	Durusdinium30443	K05609
OG0000534	Durusdinium35194	K03453
OG0000004	Durusdinium35657	K13412
OG0002895	Durusdinium52416	K17278
OG0002519	Durusdinium9187	K24242
OG0001359	Durusdinium38608	K09255
OG0000307	Durusdinium40144	K00249
OG0005306	Durusdinium37083	K16914
OG0000347	Durusdinium800	K03686
OG0007176	Durusdinium49880	K02896
OG0006120	Durusdinium15149	K16675
OG0001665	Durusdinium37871	K13748
OG0003895	Durusdinium30832	K06221
OG0000088	Durusdinium24987	K07376
OG0007199	Durusdinium10027	K01382
OG0003085	Durusdinium19494	K14803
OG0002093	Durusdinium31434	K17339
OG0001188	Durusdinium28254	K12859
OG0001974	Durusdinium31471	K07305
OG0002577	Durusdinium33955	K14850
OG0001599	Durusdinium34010	K00889
OG0000955	Durusdinium4890	K06969
OG0000079	Durusdinium37116	K08994
OG0003821	Durusdinium21862	K20176
OG0000033	Durusdinium1648	K10860
OG0000641	Durusdinium26550	K10393
OG0001260	Durusdinium39157	K03555
OG0006335	Durusdinium28778	K18079
OG0005202	Durusdinium44127	K02735
OG0001478	Durusdinium37657	K06180
OG0003945	Durusdinium22754	K14797
OG0000274	Durusdinium4189	K05016
OG0005771	Durusdinium34034	K17619
OG0000016	Durusdinium19240	K06180
OG0000131	Durusdinium15580	K13412
OG0004817	Durusdinium43950	K12826
OG0004110	Durusdinium29739	K12348
OG0004080	Durusdinium38083	K00274
OG0001232	Durusdinium31702	K13177
OG0006850	Durusdinium27390	K03686
OG0004796	Durusdinium11284	K09528
OG0002267	Durusdinium24428	K09592
OG0007365	Durusdinium8224	K01276
OG0000312	Durusdinium32453	K01338
OG0002691	Durusdinium37691	K07767
OG0005787	Durusdinium18748	K13210
OG0004356	Durusdinium46801	K24764
OG0000913	Durusdinium44801	K07874
OG0002599	Durusdinium19456	K12132
OG0006036	Durusdinium35276	K03979
OG0004278	Durusdinium52369	K04711
OG0005980	Durusdinium36199	K12827
OG0000939	Durusdinium43315	K13354
OG0000576	Durusdinium19348	K12132
OG0001487	Durusdinium41717	K20876
OG0002513	Durusdinium19737	K13207
OG0002398	Durusdinium5052	K27391
OG0000977	Durusdinium26647	K12854
OG0000438	Durusdinium50168	K18042
OG0000207	Durusdinium39527	K12486
OG0002067	Durusdinium43903	K12399
OG0001647	Durusdinium29853	K01195
OG0000442	Durusdinium44527	K24512
OG0000302	Durusdinium41241	K02575
OG0005000	Durusdinium21484	K17260
OG0001426	Durusdinium37664	K15429
OG0004507	Durusdinium18430	K15986
OG0000830	Durusdinium34772	K16055
OG0002060	Durusdinium49064	K02183
OG0000300	Durusdinium49204	K09255
OG0005287	Durusdinium22375	K06639
OG0004881	Durusdinium37230	K10609
OG0001742	Durusdinium54467	K00108
OG0000794	Durusdinium30301	K10585
OG0001725	Durusdinium35969	K17757
OG0005869	Durusdinium41605	K17943
OG0002302	Durusdinium42969	K05864
OG0000807	Durusdinium9225	K04461
OG0003701	Durusdinium4232	K04905
OG0002866	Durusdinium19372	K11989
OG0003385	Durusdinium40732	K03978
OG0002627	Durusdinium8916	K09514
OG0003138	Durusdinium31652	K25829
OG0000699	Durusdinium1813	K04515
OG0006447	Durusdinium43443	K00008
OG0004623	Durusdinium31364	K01886
OG0005183	Durusdinium12419	K03252
OG0000380	Durusdinium37576	K11392
OG0000089	Durusdinium40014	K10408
OG0005560	Durusdinium50242	K10410
OG0007175	Durusdinium35447	K19176
OG0001584	Durusdinium31147	K12483
OG0001565	Durusdinium37783	K26111
OG0000835	Durusdinium37785	K07376
OG0001305	Durusdinium20305	K10398
OG0004967	Durusdinium29190	K14209
OG0004793	Durusdinium49091	K12843
OG0001007	Durusdinium47087	K19882
OG0000021	Durusdinium47492	K22763
OG0001911	Durusdinium38480	K20989
OG0006125	Durusdinium1763	K19269
OG0000423	Durusdinium22718	K14521
OG0000029	Durusdinium35482	K04955
OG0002783	Durusdinium41073	K01251
OG0000229	Durusdinium41196	K02641
OG0002523	Durusdinium31039	K11798
OG0000504	Durusdinium34770	K21805
OG0007260	Durusdinium45999	K06693
OG0000003	Durusdinium40574	K09259
OG0000063	Durusdinium32214	K00545
OG0007710	Durusdinium31946	K17817
OG0003339	Durusdinium36691	K04905
OG0003158	Durusdinium36192	K23518
OG0001169	Durusdinium18098	K00488
OG0000714	Durusdinium1998	K21989
OG0000642	Durusdinium30650	K23437
OG0001942	Durusdinium8433	K01275
OG0000354	Durusdinium14477	K17500
OG0003220	Durusdinium33208	K15083
OG0001059	Durusdinium41581	K08832
OG0001313	Durusdinium32820	K12119
OG0000254	Durusdinium21693	K10408
OG0006424	Durusdinium46757	K22614
OG0006415	Durusdinium31226	K24758
OG0003006	Durusdinium34134	K23490
OG0005885	Durusdinium11455	K04797
OG0002907	Durusdinium40875	K05658
OG0000464	Durusdinium29298	K10595
OG0003804	Durusdinium54216	K03767
OG0000450	Durusdinium22824	K02874
OG0000345	Durusdinium2150	K10413
OG0000657	Durusdinium35867	K24734
OG0000017	Durusdinium25193	K04956
OG0000180	Durusdinium50515	K07374
OG0001856	Durusdinium4717	K17255
OG0007636	Durusdinium15813	K04986
OG0001162	Durusdinium22583	K02335
OG0000479	Durusdinium18149	K17506
OG0000274	Durusdinium37771	K05016
OG0005845	Durusdinium50233	K00077
OG0000554	Durusdinium46821	K10277
OG0000160	Durusdinium29004	K17821
OG0004213	Durusdinium49301	K17550
OG0002592	Durusdinium27022	K06959
OG0001854	Durusdinium33651	K13210
OG0007396	Durusdinium24954	K18981
OG0005534	Durusdinium39531	K02866
OG0007136	Durusdinium8308	K25378
OG0003308	Durusdinium3142	K00931
OG0000302	Durusdinium29809	K02575
OG0000214	Durusdinium9823	K14993
OG0006989	Durusdinium20016	K12603
OG0000405	Durusdinium12335	K00898
OG0000005	Durusdinium24920	K17914
OG0000827	Durusdinium28056	K12160
OG0004036	Durusdinium8672	K00615
OG0000961	Durusdinium28361	K18121
OG0000171	Durusdinium19695	K05350
OG0002915	Durusdinium50829	K27504
OG0002851	Durusdinium32926	K09259
OG0001024	Durusdinium39029	K02977
OG0002855	Durusdinium1173	K03676
OG0005185	Durusdinium281	K06943
OG0000029	Durusdinium40076	K04905
OG0001248	Durusdinium52634	K08341
OG0000216	Durusdinium34520	K10615
OG0000158	Durusdinium41420	K00002
OG0006983	Durusdinium38316	K09506
OG0005536	Durusdinium7726	K01867
OG0002514	Durusdinium54515	K04739
OG0000258	Durusdinium37577	K18561
OG0000005	Durusdinium30439	K10401
OG0001740	Durusdinium40082	K03762
OG0000638	Durusdinium31442	K26544
OG0000247	Durusdinium31274	K02471
OG0001194	Durusdinium26266	K00821
OG0000607	Durusdinium2003	K15693
OG0002792	Durusdinium25259	K11366
OG0007158	Durusdinium46575	K08336
OG0003664	Durusdinium143	K16297
OG0001186	Durusdinium33636	K26163
OG0000041	Durusdinium33776	K13412
OG0004930	Durusdinium6353	K03238
OG0004321	Durusdinium421	K10578
OG0000851	Durusdinium54696	K12198
OG0000579	Durusdinium17200	K14944
OG0006397	Durusdinium23478	K19413
OG0003402	Durusdinium821	K05917
OG0002904	Durusdinium1269	K01749
OG0000856	Durusdinium25274	K12132
OG0000993	Durusdinium28896	K06891
OG0000646	Durusdinium48831	K23531
OG0005677	Durusdinium44010	K01569
OG0007248	Durusdinium19392	K17428
OG0002546	Durusdinium24828	K00003
OG0007276	Durusdinium46621	K14155
OG0006693	Durusdinium11423	K05275
OG0000586	Durusdinium24877	K03978
OG0002370	Durusdinium34046	K18272
OG0002073	Durusdinium17074	K06627
OG0005843	Durusdinium22601	K03833
OG0002888	Durusdinium53362	K00799
OG0000764	Durusdinium43369	K09884
OG0000281	Durusdinium31215	K09255
OG0002890	Durusdinium20317	K27751
OG0001612	Durusdinium31925	K08153
OG0006025	Durusdinium20422	K07407
OG0000503	Durusdinium11024	K01076
OG0000034	Durusdinium23868	K13184
OG0000103	Durusdinium30812	K22696
OG0003294	Durusdinium32238	K07299
OG0001019	Durusdinium3075	K12235
OG0005498	Durusdinium46047	K00889
OG0000134	Durusdinium38750	K21059
OG0000190	Durusdinium26327	K14165
OG0001038	Durusdinium6050	K08994
OG0001485	Durusdinium40996	K00789
OG0003062	Durusdinium28250	K07198
OG0002651	Durusdinium7355	K09592
OG0000505	Durusdinium36594	K12614
OG0000194	Durusdinium43411	K11839
OG0006930	Durusdinium15634	K17586
OG0001391	Durusdinium147	K12348
OG0001229	Durusdinium14350	K10380
OG0000819	Durusdinium4563	K16900
OG0000321	Durusdinium453	K19953
OG0002273	Durusdinium25720	K10659
OG0001667	Durusdinium50423	K09553
OG0000016	Durusdinium24311	K06180
OG0005362	Durusdinium52064	K14821
OG0001583	Durusdinium39967	K26273
OG0006412	Durusdinium31767	K07305
OG0005712	Durusdinium19236	K12132
OG0005055	Durusdinium18627	K10683
OG0001736	Durusdinium33581	K02183
OG0001193	Durusdinium37884	K03177
OG0006980	Durusdinium9185	K08906
OG0003832	Durusdinium38042	K03515
OG0004199	Durusdinium15589	K17260
OG0000025	Durusdinium19552	K07937
OG0000053	Durusdinium19467	K02218
OG0001601	Durusdinium25794	K14963
OG0000925	Durusdinium24348	K12132
OG0000090	Durusdinium25192	K13291
OG0006407	Durusdinium30612	K05812
OG0000945	Durusdinium32218	K16462
OG0000380	Durusdinium34437	K14835
OG0000165	Durusdinium30580	K05849
OG0004143	Durusdinium9321	K02684
OG0002070	Durusdinium49118	K17725
OG0005799	Durusdinium19305	K11884
OG0002502	Durusdinium12848	K01783
OG0000072	Durusdinium27226	K04834
OG0005807	Durusdinium11560	K09259
OG0003074	Durusdinium26150	K08876
OG0004719	Durusdinium15301	K20362
OG0001205	Durusdinium19539	K12896
OG0004708	Durusdinium25112	K01816
OG0007030	Durusdinium35420	K03816
OG0001361	Durusdinium28264	K03686
OG0000005	Durusdinium34295	K24185
OG0000005	Durusdinium4367	K10397
OG0002205	Durusdinium56081	K13907
OG0000438	Durusdinium50556	K14165
OG0001223	Durusdinium49910	K04990
OG0000934	Durusdinium40298	K00559
OG0005204	Durusdinium49213	K19760
OG0001749	Durusdinium17128	K23334
OG0000452	Durusdinium28299	K01913
OG0000755	Durusdinium30161	K10758
OG0001834	Durusdinium15434	K07238
OG0000215	Durusdinium37015	K05656
OG0000039	Durusdinium27223	K08819
OG0000309	Durusdinium35893	K22762
OG0000623	Durusdinium46203	K09503
OG0001168	Durusdinium20	K09680
OG0006665	Durusdinium19336	K05592
OG0002724	Durusdinium54336	K03514
OG0006347	Durusdinium19936	K00122
OG0005486	Durusdinium32900	K17790
OG0000929	Durusdinium7915	K23164
OG0000350	Durusdinium35817	K13806
OG0000439	Durusdinium19082	K17086
OG0002752	Durusdinium21086	K11094
OG0001526	Durusdinium1751	K24205
OG0000453	Durusdinium40883	K01637
OG0003563	Durusdinium44126	K02863
OG0001271	Durusdinium23895	K15111
OG0000150	Durusdinium19498	K10635
OG0005937	Durusdinium30312	K17675
OG0000928	Durusdinium25980	K08956
OG0005736	Durusdinium22867	K17609
OG0003312	Durusdinium34223	K06158
OG0000436	Durusdinium40429	K05643
OG0000061	Durusdinium18805	K04854
OG0002610	Durusdinium19764	K22684
OG0005299	Durusdinium9231	K09680
OG0002227	Durusdinium33598	K12319
OG0002229	Durusdinium42951	K00939
OG0001655	Durusdinium39917	K22133
OG0000066	Durusdinium8331	K14803
OG0000119	Durusdinium54816	K04840
OG0005350	Durusdinium34370	K03424
OG0000091	Durusdinium38152	K13420
OG0003721	Durusdinium10351	K09504
OG0007101	Durusdinium1507	K09142
OG0001189	Durusdinium18635	K12663
OG0001878	Durusdinium35694	K21970
OG0002353	Durusdinium42128	K10582
OG0001291	Durusdinium634	K01135
OG0001068	Durusdinium26897	K15027
OG0000785	Durusdinium27070	K03263
OG0002861	Durusdinium12274	K03869
OG0002310	Durusdinium17897	K05181
OG0000057	Durusdinium34065	K04421
OG0000507	Durusdinium33220	K11625
OG0001775	Durusdinium43190	K16865
OG0002023	Durusdinium35997	K07407
OG0001188	Durusdinium34303	K12859
OG0004738	Durusdinium49116	K01515
OG0004371	Durusdinium18771	K03145
OG0004099	Durusdinium28805	K14413
OG0002449	Durusdinium12338	K00116
OG0003498	Durusdinium28520	K20303
OG0006775	Durusdinium18761	K12483
OG0001038	Durusdinium33537	K08994
OG0000011	Durusdinium46071	K12132
OG0000971	Durusdinium32703	K11163
OG0005680	Durusdinium27849	K19674
OG0005479	Durusdinium26618	K01135
OG0001941	Durusdinium37093	K05673
OG0000660	Durusdinium22551	K00922
OG0001988	Durusdinium40828	K09259
OG0000668	Durusdinium19391	K05389
OG0000211	Durusdinium15552	K09503
OG0002626	Durusdinium38076	K04728
OG0001413	Durusdinium41265	K09255
OG0005411	Durusdinium17139	K05658
OG0000829	Durusdinium635	K21866
OG0000736	Durusdinium30121	K24796
OG0000859	Durusdinium38774	K15336
OG0000536	Durusdinium28807	K14755
OG0005201	Durusdinium4182	K01895
OG0002883	Durusdinium957	K01764
OG0002824	Durusdinium35296	K11808
OG0000694	Durusdinium30532	K09553
OG0006843	Durusdinium28757	K15503
OG0000798	Durusdinium54697	K10380
OG0001022	Durusdinium19693	K14963
OG0002483	Durusdinium23860	K16465
OG0000098	Durusdinium37861	K09571
OG0002965	Durusdinium47056	K15264
OG0000927	Durusdinium9884	K14787
OG0002451	Durusdinium28080	K02871
OG0000887	Durusdinium37854	K21396
OG0007669	Durusdinium37106	K23518
OG0000003	Durusdinium40871	K09255
OG0000311	Durusdinium33398	K23424
OG0000529	Durusdinium17646	K08288
OG0005764	Durusdinium34747	K14442
OG0001135	Durusdinium17209	K05312
OG0000085	Durusdinium42882	K17943
OG0005074	Durusdinium27727	K08829
OG0001674	Durusdinium46214	K22684
OG0000545	Durusdinium37526	K01537
OG0007647	Durusdinium28128	K22763
OG0002258	Durusdinium32324	K04905
OG0000011	Durusdinium27646	K08857
OG0000676	Durusdinium39569	K03018
OG0006542	Durusdinium29782	K13412
OG0007102	Durusdinium38205	K02357
OG0004776	Durusdinium14242	K03033
OG0000804	Durusdinium452	K01539
OG0000896	Durusdinium43907	K14863
OG0003802	Durusdinium36637	K22949
OG0007563	Durusdinium44443	K03648
OG0006321	Durusdinium20307	K01076
OG0005590	Durusdinium15523	K20362
OG0002287	Durusdinium32914	K25210
OG0000602	Durusdinium39165	K07115
OG0000403	Durusdinium55326	K00939
OG0005189	Durusdinium3287	K12607
OG0000619	Durusdinium31885	K06941
OG0002785	Durusdinium19063	K17506
OG0000102	Durusdinium52367	K00645
OG0000292	Durusdinium30014	K03762
OG0007323	Durusdinium40189	K01202
OG0001413	Durusdinium54439	K10380
OG0005300	Durusdinium26252	K08776
OG0000202	Durusdinium27760	K00726
OG0000256	Durusdinium31198	K04515
OG0006807	Durusdinium14400	K05956
OG0000275	Durusdinium38018	K04079
OG0007456	Durusdinium53331	K17892
OG0000831	Durusdinium8641	K05016
OG0001335	Durusdinium36361	K23456
OG0001668	Durusdinium15604	K15272
OG0000595	Durusdinium40478	K03165
OG0002462	Durusdinium38662	K12960
OG0005109	Durusdinium4559	K05110
OG0002151	Durusdinium50040	K02931
OG0007289	Durusdinium49460	K07511
OG0003501	Durusdinium17435	K13298
OG0003036	Durusdinium13691	K03294
OG0000171	Durusdinium36258	K01223
OG0006229	Durusdinium1129	K00224
OG0007629	Durusdinium46137	K10587
OG0000003	Durusdinium35474	K09255
OG0003918	Durusdinium28114	K14439
OG0007259	Durusdinium31605	K10592
OG0003519	Durusdinium7394	K18342
OG0000958	Durusdinium33123	K14966
OG0000057	Durusdinium22582	K20717
OG0000106	Durusdinium36158	K06221
OG0000576	Durusdinium37676	K08798
OG0003542	Durusdinium13476	K18183
OG0001763	Durusdinium7895	K00413
OG0004640	Durusdinium31990	K01799
OG0001987	Durusdinium42819	K09498
OG0004208	Durusdinium39456	K10413
OG0003181	Durusdinium38770	K20223
OG0001133	Durusdinium13425	K10418
OG0002517	Durusdinium11598	K24887
OG0002425	Durusdinium10101	K00799
OG0001305	Durusdinium32546	K10394
OG0000861	Durusdinium52531	K03152
OG0000061	Durusdinium52112	K04855
OG0002697	Durusdinium11647	K17535
OG0001970	Durusdinium24586	K00861
OG0001204	Durusdinium37587	K02936
OG0000757	Durusdinium28402	K08516
OG0002895	Durusdinium12013	K17278
OG0007690	Durusdinium32648	K03514
OG0004086	Durusdinium38141	K06179
OG0005942	Durusdinium37404	K02184
OG0007118	Durusdinium9466	K02537
OG0002940	Durusdinium52043	K12392
OG0001508	Durusdinium19227	K01279
OG0000087	Durusdinium25857	K05534
OG0000163	Durusdinium36137	K15666
OG0007218	Durusdinium30506	K17458
OG0006048	Durusdinium24999	K03098
OG0000142	Durusdinium35713	K15377
OG0004628	Durusdinium9248	K01834
OG0001572	Durusdinium29099	K11540
OG0000306	Durusdinium38584	K11661
OG0004508	Durusdinium7704	K04708
OG0000035	Durusdinium237	K10799
OG0004544	Durusdinium26287	K14786
OG0002305	Durusdinium33885	K20176
OG0000016	Durusdinium41125	K06180
OG0000387	Durusdinium32872	K03178
OG0003827	Durusdinium19890	K17267
OG0000995	Durusdinium35796	K07299
OG0000083	Durusdinium29017	K17341
OG0007033	Durusdinium1621	K08576
OG0000576	Durusdinium31953	K08798
OG0005081	Durusdinium30989	K13123
OG0005039	Durusdinium35248	K05012
OG0002991	Durusdinium54283	K13071
OG0007181	Durusdinium37749	K03321
OG0000964	Durusdinium49209	K08798
