OG0005813	K06630
OG0007162	K24029
OG0000755	K20032
OG0002264	K04345
OG0000895	K02937
OG0007067	K11253
OG0006021	K13704
OG0001904	K00939
OG0001070	K01834
OG0008448	K03977
OG0003708	K10408
OG0007642	K14655
OG0001145	K09255
OG0000003	K04043
OG0001944	K00476
OG0003117	K11131
OG0004870	K12177
OG0001995	K00889
OG0003399	K01057
OG0000057	K23531
OG0005541	K05592
OG0006192	K09861
OG0002939	K23452
OG0000738	K11187
OG0003377	K09667
OG0001137	K11136
OG0006976	K00225
OG0007783	K00799
OG0000512	K09499
OG0003159	K02183
OG0002953	K15306
OG0002408	K00036
OG0001251	K01382
OG0008265	K06269
OG0007412	K01834
OG0006660	K18880
OG0005318	K20151
OG0003048	K10380
OG0009602	K17545
OG0008378	K04445
OG0006362	K06969
OG0002272	K03320
OG0005567	K18327
OG0001374	K09259
OG0009092	K25166
OG0009852	K11518
OG0005237	K18443
OG0004586	K00710
OG0000840	K04461
OG0007013	K13758
OG0009528	K12193
OG0003588	K06130
OG0006068	K02206
OG0000150	K24683
OG0002479	K08596
OG0006725	K14165
OG0002622	K19519
OG0008952	K15378
OG0008782	K00472
OG0000232	K13289
OG0000156	K24469
OG0004913	K09255
OG0007372	K02836
OG0004588	K24512
OG0009193	K06258
OG0000025	K27391
OG0001127	K10408
OG0008473	K10758
OG0007294	K25026
OG0006775	K21438
OG0004395	K02440
OG0009186	K17710
OG0001351	K10408
OG0002821	K16457
OG0002740	K09773
OG0003875	K10799
OG0000955	K15111
OG0005739	K03686
OG0006025	K03417
OG0006937	K06180
OG0003603	K03327
OG0002720	K24205
OG0005792	K03686
OG0007371	K23719
OG0004985	K15015
OG0007466	K04955
OG0005247	K11744
OG0006778	K10427
OG0007027	K01363
OG0009062	K14944
OG0009794	K08596
OG0003509	K09459
OG0008750	K27277
OG0001201	K20030
OG0004839	K05657
OG0008382	K04885
OG0004567	K03143
OG0000317	K02873
OG0010034	K24734
OG0002792	K17943
OG0003220	K16465
OG0007967	K09015
OG0004514	K12826
OG0003768	K15261
OG0006194	K25162
OG0009822	K07305
OG0004241	K00700
OG0008749	K10770
OG0004423	K20032
OG0009203	K18735
OG0006682	K08803
OG0005136	K11168
OG0001838	K12198
OG0001253	K10615
OG0000590	K00218
OG0001874	K22763
OG0007029	K02996
OG0002166	K15102
OG0003826	K12811
OG0003419	K22857
OG0002681	K03978
OG0003347	K06268
OG0002314	K15425
OG0002819	K06515
OG0007256	K15078
OG0000301	K06515
OG0005187	K14026
OG0008946	K14765
OG0002760	K12733
OG0003367	K13293
OG0001188	K14411
OG0009418	K24982
OG0007663	K10277
OG0009590	K15701
OG0009593	K14803
OG0009241	K00919
OG0009923	K00766
OG0001933	K00002
OG0005894	K08139
OG0008512	K00057
OG0003304	K00472
OG0006221	K13412
OG0004058	K15121
OG0000366	K05665
OG0001203	K04456
OG0005680	K01276
OG0002723	K05986
OG0007328	K05290
OG0001713	K22761
OG0001850	K10408
OG0000336	K09255
OG0003032	K11703
OG0008336	K13525
OG0002620	K17808
OG0004644	K26544
OG0006354	K25607
OG0002014	K16052
OG0003045	K11426
OG0000247	K01379
OG0003306	K00799
OG0005317	K14801
OG0004078	K03320
OG0002651	K14648
OG0000925	K25546
OG0001854	K06158
OG0003611	K14726
OG0004368	K11884
OG0005197	K01379
OG0009909	K21989
OG0007408	K14424
OG0007124	K16810
OG0005315	K15119
OG0004699	K02156
OG0009322	K19745
OG0002766	K03246
OG0001256	K08869
OG0001166	K09553
OG0008597	K10277
OG0006029	K09645
OG0002873	K10408
OG0002177	K18749
OG0002278	K10599
OG0001329	K22762
OG0002795	K08151
OG0002179	K15106
OG0005700	K27692
OG0005638	K18466
OG0001848	K06130
OG0006072	K07305
OG0005443	K06252
OG0006878	K03798
OG0004545	K27320
OG0007781	K15289
OG0003007	K11094
OG0009210	K01462
OG0004957	K03676
OG0005069	K03526
OG0005022	K22857
OG0008718	K00476
OG0008161	K05633
OG0004657	K00565
OG0006047	K22614
OG0000635	K01165
OG0001051	K12860
OG0008156	K06948
OG0007764	K20183
OG0006200	K09645
OG0004468	K06695
OG0004061	K00079
OG0006502	K00002
OG0005492	K06221
OG0000990	K00645
OG0000776	K12319
OG0009905	K02874
OG0008886	K01076
OG0005858	K17906
OG0004321	K21437
OG0007487	K06941
OG0000575	K11274
OG0009962	K10592
OG0008997	K09553
OG0007708	K03849
OG0006150	K12132
OG0005788	K08735
OG0008936	K03686
OG0008011	K22200
OG0004487	K04461
OG0008459	K23567
OG0007836	K16190
OG0003179	K16281
OG0001478	K05662
OG0006186	K11989
OG0000789	K03263
OG0001922	K22372
OG0005711	K00472
OG0002060	K24761
OG0008600	K01076
OG0007061	K02717
OG0002654	K17680
OG0003527	K22503
OG0005229	K08798
OG0005223	K15044
OG0003947	K02156
OG0001681	K03319
OG0004064	K12132
OG0000920	K01866
OG0002510	K07407
OG0006374	K02931
OG0002128	K08281
OG0003253	K02528
OG0003952	K14521
OG0007484	K03292
OG0004548	K09861
OG0001486	K01805
OG0003575	K07305
OG0003994	K14963
OG0008876	K02433
OG0007155	K25476
OG0008141	K13412
OG0003962	K14411
OG0006303	K13719
OG0004008	K20163
OG0006800	K27833
OG0007007	K17795
OG0003704	K03455
OG0008544	K18764
OG0003643	K25792
OG0000818	K21435
OG0001709	K01759
OG0005842	K02471
OG0006455	K05592
OG0004974	K14794
OG0006977	K01652
OG0007987	K17800
OG0005797	K08151
OG0007087	K08857
OG0001755	K00889
OG0002676	K25378
OG0005874	K19619
OG0003372	K07056
OG0000689	K03321
OG0004501	K07407
OG0009689	K00586
OG0003216	K00128
OG0002784	K03456
OG0003805	K16465
OG0002124	K13291
OG0009485	K01490
OG0004837	K10423
OG0008087	K01787
OG0000731	K22763
OG0002450	K12880
OG0007261	K00939
OG0008580	K25762
OG0001720	K00276
OG0006014	K25210
OG0009000	K03009
OG0001771	K08844
OG0003036	K15283
OG0007166	K10901
OG0003672	K11087
OG0008773	K25424
OG0005888	K12486
OG0002566	K14573
OG0008270	K16462
OG0009232	K00826
OG0002982	K25894
OG0000840	K19704
OG0007849	K03676
OG0004684	K18479
OG0009420	K19947
OG0002238	K09514
OG0005863	K13148
OG0007627	K14564
OG0002278	K14963
OG0006425	K00476
OG0000908	K00812
OG0006810	K16466
OG0006791	K16531
OG0004606	K01880
OG0003757	K12869
OG0001163	K04908
OG0001911	K11982
OG0001316	K03094
OG0000131	K02957
OG0002179	K15112
OG0001996	K18703
OG0004841	K01135
OG0002566	K14411
OG0006866	K13412
OG0002536	K00940
OG0000522	K02932
OG0008424	K00902
OG0005051	K19870
OG0006322	K13719
OG0009789	K21862
OG0007835	K03665
OG0007829	K13510
OG0003275	K03596
OG0004897	K11976
OG0002777	K10581
OG0006496	K03142
OG0006273	K12818
OG0003494	K01177
OG0003898	K04851
OG0003058	K00850
OG0001859	K17508
OG0006458	K03635
OG0009268	K00254
OG0002107	K17087
OG0001014	K04646
OG0002867	K01952
OG0002690	K15202
OG0008889	K08869
OG0008797	K07507
OG0000258	K05673
OG0001437	K05309
OG0002852	K17943
OG0008032	K00972
OG0003625	K15889
OG0006189	K15259
OG0004450	K01674
OG0000309	K03762
OG0000773	K10615
OG0003488	K11087
OG0001698	K09255
OG0000386	K14755
OG0001517	K27624
OG0006607	K27761
OG0007055	K15272
OG0004443	K03798
OG0009971	K10380
OG0004650	K11253
OG0006483	K10408
OG0010167	K23628
OG0002464	K08796
OG0008893	K14003
OG0004689	K12604
OG0000138	K00364
OG0003829	K07198
OG0009918	K06234
OG0003380	K22614
OG0004001	K01758
OG0009620	K05884
OG0001685	K00815
OG0007596	K19026
OG0009401	K12399
OG0002863	K15276
OG0003801	K12460
OG0000670	K23025
OG0001947	K12132
OG0003633	K06630
OG0008613	K00914
OG0007041	K10450
OG0001030	K19513
OG0000863	K04857
OG0007127	K19499
OG0007894	K06173
OG0009107	K12041
OG0000059	K04905
OG0005226	K02257
OG0009458	K01376
OG0004122	K24509
OG0006384	K00731
OG0000746	K02997
OG0003541	K01915
OG0000887	K01250
OG0009812	K08176
OG0008053	K00057
OG0000869	K05929
OG0002934	K01187
OG0005104	K12132
OG0006861	K10838
OG0000736	K15692
OG0002923	K10406
OG0005413	K22913
OG0000501	K17893
OG0007386	K22934
OG0003553	K01166
OG0008817	K09020
OG0002407	K12402
OG0006478	K19525
OG0004331	K01517
OG0000847	K11163
OG0000087	K07374
OG0008870	K11152
OG0008941	K19755
OG0004818	K12605
OG0006106	K10251
OG0006833	K17803
OG0008117	K08681
OG0009544	K02950
OG0006942	K09527
OG0007555	K01099
OG0001006	K02144
OG0000347	K07936
OG0009154	K16735
OG0001993	K12443
OG0000615	K16310
OG0005404	K00799
OG0005674	K02636
OG0006796	K04958
OG0001985	K06058
OG0001832	K06901
OG0003974	K05613
OG0007515	K09861
OG0002261	K13210
OG0008484	K02183
OG0004551	K03637
OG0001374	K09255
OG0005673	K00077
OG0002244	K18423
OG0006035	K13412
OG0005505	K08151
OG0009982	K04955
OG0001400	K08866
OG0001442	K12857
OG0000189	K07874
OG0008852	K10862
OG0003939	K09580
OG0004911	K15109
OG0004056	K01735
OG0003240	K14458
OG0003506	K01404
OG0006438	K16726
OG0000461	K11416
OG0001547	K09510
OG0004693	K02493
OG0004108	K24730
OG0004182	K01493
OG0006263	K06974
OG0002233	K10407
OG0001817	K15505
OG0006230	K20029
OG0001047	K10589
OG0003651	K15272
OG0003560	K23953
OG0004557	K13412
OG0003695	K01382
OG0006966	K10380
OG0009076	K09512
OG0002192	K25532
OG0008808	K10392
OG0006928	K10536
OG0000364	K08778
OG0000096	K13412
OG0000023	K20876
OG0003188	K00797
OG0006622	K12623
OG0005670	K11717
OG0003309	K04954
OG0009481	K21867
OG0005519	K06674
OG0002636	K00135
OG0001449	K10798
OG0005623	K00088
OG0007602	K13216
OG0006081	K03453
OG0000844	K09255
OG0003703	K00432
OG0001166	K05516
OG0006080	K09255
OG0008198	K06941
OG0002721	K01099
OG0001989	K04461
OG0000041	K09518
OG0009576	K07583
OG0005802	K23568
OG0002472	K12872
OG0005098	K11968
OG0009360	K02116
OG0005616	K00604
OG0008554	K11824
OG0003869	K19752
OG0005712	K19737
OG0005602	K08794
OG0002397	K11143
OG0006423	K08769
OG0006651	K01262
OG0000001	K06180
OG0004447	K08073
OG0002370	K04739
OG0000440	K05016
OG0007993	K00472
OG0004489	K17973
OG0001254	K27277
OG0009002	K06941
OG0006177	K09259
OG0000858	K10407
OG0008004	K17584
OG0002064	K11971
OG0007359	K05349
OG0000362	K04905
OG0003941	K01760
OG0000639	K04688
OG0007852	K16742
OG0002726	K03030
OG0006902	K02637
OG0000359	K10413
OG0001912	K02960
OG0006795	K08994
OG0000057	K02183
OG0000186	K16197
OG0000494	K03235
OG0000825	K05016
OG0005308	K22866
OG0001344	K21440
OG0001481	K00002
OG0000342	K17499
OG0008513	K05906
OG0001880	K01326
OG0004982	K07783
OG0001239	K02293
OG0008591	K12132
OG0000856	K23257
OG0009443	K00053
OG0010032	K04952
OG0005640	K22763
OG0002770	K00700
OG0001354	K12898
OG0001273	K04854
OG0005775	K06901
OG0003350	K16795
OG0000007	K12440
OG0000808	K04464
OG0001302	K00108
OG0002524	K25395
OG0004026	K14411
OG0000653	K02575
OG0003615	K26935
OG0009091	K00889
OG0001412	K09498
OG0003735	K22324
OG0000871	K04308
OG0001470	K19219
OG0007320	K11417
OG0008818	K04799
OG0004921	K20028
OG0003049	K06180
OG0004154	K16914
OG0000125	K11833
OG0009511	K05592
OG0003657	K18460
OG0009067	K01802
OG0001638	K16862
OG0003585	K03033
OG0007104	K06173
OG0008100	K14501
OG0009872	K03234
OG0002547	K00901
OG0008680	K07199
OG0009123	K13510
OG0007904	K18532
OG0008367	K23490
OG0000797	K01135
OG0000601	K20872
OG0000803	K01491
OG0009476	K10455
OG0000146	K21440
OG0010099	K00079
OG0005280	K04043
OG0007801	K11086
OG0002701	K00820
OG0006018	K14552
OG0007353	K16742
OG0009216	K21993
OG0009861	K03115
OG0001572	K19329
OG0003395	K19759
OG0001742	K13412
OG0004714	K21396
OG0006871	K01493
OG0003924	K10396
OG0008618	K17338
OG0003749	K02900
OG0009614	K03084
OG0002488	K17914
OG0009417	K03767
OG0007737	K25378
OG0007419	K03846
OG0005554	K07759
OG0003332	K01190
OG0002609	K00432
OG0000572	K14415
OG0000005	K13412
OG0005627	K04905
OG0001824	K05863
OG0010018	K16302
OG0002559	K20101
OG0005042	K05516
OG0001390	K15371
OG0009562	K10579
OG0000052	K25808
OG0001758	K21867
OG0005035	K01663
OG0002974	K12603
OG0000692	K19360
OG0004647	K15085
OG0002326	K00059
OG0006882	K19002
OG0005875	K14855
OG0005687	K11530
OG0001624	K03809
OG0009255	K01110
OG0006290	K17914
OG0005337	K15283
OG0002767	K02148
OG0009229	K11175
OG0004265	K12823
OG0010087	K04515
OG0003438	K03686
OG0003938	K17766
OG0000591	K21798
OG0005628	K01875
OG0004989	K00967
OG0002626	K14837
OG0000947	K06639
OG0006616	K02433
OG0000108	K14963
OG0009307	K13628
OG0000799	K00213
OG0004896	K05516
OG0009800	K19306
OG0000064	K03462
OG0008080	K09259
OG0000341	K00850
OG0009163	K08582
OG0004495	K01733
OG0002042	K12447
OG0003265	K03029
OG0001151	K02183
OG0008933	K20346
OG0002673	K12856
OG0000975	K19360
OG0005406	K00599
OG0009235	K19539
OG0000497	K01182
OG0009263	K06943
OG0009036	K17300
OG0000425	K24512
OG0009888	K20301
OG0004325	K13288
OG0003478	K01887
OG0000484	K16603
OG0008982	K04771
OG0009320	K26544
OG0000050	K04852
OG0001578	K15692
OG0006744	K17822
OG0004976	K19626
OG0000666	K04515
OG0004723	K18055
OG0001925	K22763
OG0005690	K10408
OG0005454	K16055
OG0005876	K15109
OG0008669	K01625
OG0001416	K19680
OG0007805	K00799
OG0001026	K09584
OG0004045	K21989
OG0007994	K06158
OG0005522	K02606
OG0004782	K07374
OG0008392	K00099
OG0005952	K13750
OG0000585	K04606
OG0006285	K17680
OG0001941	K03372
OG0001460	K24956
OG0007180	K11600
OG0004312	K11068
OG0008906	K08193
OG0007351	K11426
OG0007450	K18643
OG0009459	K03120
OG0000497	K01208
OG0000170	K03130
OG0001936	K01845
OG0009414	K25378
OG0004225	K20304
OG0006798	K20029
OG0006792	K15102
OG0009601	K14550
OG0008965	K18740
OG0001212	K09508
OG0007895	K25656
OG0002307	K00101
OG0002950	K07556
OG0002198	K10758
OG0009914	K17675
OG0002226	K08054
OG0005644	K20029
OG0008849	K03843
OG0009921	K12398
OG0004905	K10860
OG0007106	K03514
OG0000280	K03231
OG0005843	K19022
OG0003311	K03929
OG0006073	K10839
OG0000982	K00382
OG0003363	K13010
OG0009839	K14026
OG0008262	K12460
OG0003901	K12567
OG0008287	K23909
OG0001846	K02471
OG0002254	K02708
OG0001415	K07305
OG0007015	K09522
OG0009069	K20027
OG0000646	K27391
OG0005666	K14209
OG0001018	K15523
OG0005472	K03153
OG0008200	K07555
OG0006222	K20184
OG0006655	K04373
OG0001953	K08790
OG0004931	K01673
OG0009875	K24888
OG0008307	K24223
OG0003249	K10481
OG0009338	K19430
OG0000398	K02949
OG0001033	K11981
OG0002546	K18953
OG0006879	K00931
OG0006711	K05776
OG0005772	K01758
OG0009728	K01796
OG0000666	K08794
OG0000076	K01135
OG0008897	K16250
OG0008205	K00109
OG0009149	K06677
OG0009198	K12896
OG0004370	K07441
OG0005379	K13412
OG0001856	K19199
OG0001145	K10349
OG0002639	K13761
OG0003718	K12132
OG0003420	K15272
OG0007605	K07636
OG0000729	K02108
OG0005528	K14829
OG0007058	K20353
OG0002798	K20777
OG0005583	K03025
OG0000978	K06276
OG0003663	K17619
OG0004014	K05681
OG0004812	K24737
OG0004152	K11754
OG0003534	K07874
OG0003440	K13412
OG0004951	K03762
OG0003811	K11251
OG0002655	K07783
OG0003373	K08341
OG0004893	K14379
OG0000020	K04905
OG0002705	K08808
OG0000571	K02358
OG0006703	K23499
OG0002145	K12837
OG0008629	K02906
OG0001613	K01412
OG0006400	K11160
OG0005433	K08853
OG0006560	K18441
OG0009035	K12132
OG0006889	K02234
OG0008902	K06213
OG0006628	K23012
OG0007951	K17816
OG0000927	K14165
OG0001929	K10407
OG0000765	K07376
OG0006619	K09571
OG0008026	K06176
OG0009200	K00521
OG0009207	K13412
OG0005274	K02939
OG0000445	K12812
OG0005610	K13248
OG0006077	K25897
OG0003822	K02371
OG0001339	K09571
OG0007841	K24070
OG0005981	K10454
OG0003426	K20899
OG0002473	K17260
OG0002243	K11968
OG0008995	K03215
OG0006411	K08796
OG0000014	K16290
OG0007946	K22864
OG0009709	K12386
OG0000983	K04930
OG0006828	K12823
OG0005599	K14157
OG0001196	K08873
OG0009425	K08303
OG0006395	K12132
OG0002425	K10716
OG0004052	K06177
OG0000234	K11412
OG0002537	K01889
OG0003697	K02937
OG0002022	K17570
OG0001612	K17710
OG0000128	K14439
OG0002002	K00108
OG0007832	K14674
OG0003570	K03013
OG0008635	K18598
OG0007001	K23909
OG0005190	K24070
OG0007222	K06131
OG0008356	K01783
OG0003147	K02945
OG0004968	K01412
OG0009922	K09255
OG0008762	K06252
OG0000190	K24332
OG0006228	K14684
OG0001181	K19882
OG0006270	K14314
OG0002175	K04515
OG0002438	K12823
OG0004491	K23330
OG0009047	K04886
OG0004730	K14785
OG0006256	K05516
OG0002765	K18041
OG0006142	K26956
OG0002090	K00652
OG0000282	K00688
OG0001341	K02687
OG0004795	K00878
OG0005526	K14402
OG0000726	K00602
OG0005208	K16912
OG0000360	K10799
OG0001691	K09255
OG0000620	K10380
OG0000220	K16726
OG0005231	K19199
OG0007265	K24997
OG0000159	K14835
OG0006168	K19873
OG0007948	K24764
OG0008173	K06941
OG0003296	K22762
OG0000098	K12888
OG0005693	K24725
OG0005394	K07126
OG0006302	K11805
OG0004323	K17301
OG0000101	K27590
OG0000128	K11661
OG0008337	K15889
OG0002100	K17535
OG0001968	K01881
OG0002218	K10457
OG0002072	K10398
OG0001587	K12393
OG0004840	K02371
OG0010066	K15015
OG0008083	K02510
OG0009486	K17616
OG0006232	K06970
OG0006066	K15104
OG0005110	K03265
OG0001940	K15422
OG0008918	K01519
OG0008529	K21989
OG0009855	K17580
OG0000047	K10357
OG0004111	K20032
OG0002024	K00939
OG0001851	K02998
OG0003176	K00476
OG0001467	K15445
OG0001793	K04885
OG0003153	K20471
OG0007174	K08794
OG0001226	K00476
OG0002119	K25897
OG0003892	K25425
OG0008402	K10406
OG0009300	K18981
OG0000498	K10746
OG0000556	K10405
OG0009805	K03671
OG0003052	K15033
OG0009506	K02168
OG0003824	K02183
OG0000502	K27761
OG0009956	K10860
OG0001902	K00208
OG0003322	K12891
OG0001015	K22030
OG0010030	K10773
OG0002174	K03327
OG0005044	K03841
OG0001500	K16462
OG0004112	K23200
OG0000727	K10863
OG0007026	K11163
OG0004973	K16219
OG0009943	K26544
OG0008437	K01881
OG0001674	K03671
OG0006452	K27398
OG0007617	K14724
OG0007955	K13755
OG0005160	K14026
OG0001280	K12231
OG0006525	K01379
OG0004374	K01953
OG0003015	K14803
OG0006145	K01307
OG0008967	K12960
OG0002534	K15377
OG0003688	K01784
OG0000288	K04461
OG0000648	K22763
OG0001219	K02720
OG0001166	K03686
OG0009745	K10949
OG0003127	K08272
OG0001432	K02735
OG0007887	K14170
OG0007541	K16466
OG0005990	K25450
OG0001159	K09602
OG0007814	K04043
OG0003027	K04990
OG0001616	K14079
OG0001807	K11969
OG0003024	K19682
OG0000790	K04515
OG0003070	K10442
OG0008890	K14833
OG0007246	K11858
OG0003228	K03100
OG0001617	K13907
OG0001938	K01686
OG0010042	K14457
OG0001855	K16777
OG0007244	K19755
OG0000290	K02111
OG0005830	K07735
OG0005175	K07565
OG0000106	K10807
OG0001625	K13807
OG0004862	K17892
OG0006675	K15303
OG0001605	K17499
OG0000354	K01201
OG0003221	K12623
OG0008882	K08998
OG0008811	K00729
OG0001399	K09255
OG0001639	K24728
OG0007585	K18798
OG0007035	K00898
OG0001367	K15272
OG0009060	K14379
OG0003559	K08517
OG0001130	K07393
OG0001034	K07305
OG0000049	K10408
OG0003454	K00088
OG0007672	K23538
OG0006373	K05812
OG0008646	K16604
OG0007579	K11434
OG0003821	K23741
OG0002333	K02471
OG0001797	K01855
OG0000483	K10410
OG0005151	K25192
OG0010173	K01228
OG0009961	K10838
OG0002110	K04615
OG0007699	K04043
OG0004587	K25897
OG0002160	K19477
OG0002725	K00476
OG0006337	K02078
OG0000121	K01310
OG0002835	K17541
OG0008916	K14724
OG0003827	K19525
OG0001396	K25551
OG0001949	K01669
OG0002276	K03175
OG0005411	K10277
OG0008458	K22074
OG0008684	K10380
OG0006196	K03686
OG0004266	K13675
OG0009461	K00852
OG0001493	K07560
OG0003477	K03169
OG0001154	K03869
OG0004933	K10844
OG0002329	K00486
OG0000679	K21993
OG0004961	K24732
OG0003481	K00876
OG0009525	K12132
OG0000203	K03164
OG0001735	K03035
OG0000558	K19329
OG0007649	K14834
OG0003613	K09584
OG0009571	K13448
OG0009688	K10442
OG0006503	K14803
OG0008682	K09602
OG0001749	K03405
OG0000397	K00933
OG0001690	K12741
OG0005762	K00856
OG0009391	K06917
OG0000469	K14079
OG0000325	K23957
OG0002043	K12573
OG0003400	K04739
OG0009344	K14617
OG0000340	K04910
OG0004208	K03438
OG0003034	K24242
OG0001074	K02893
OG0003987	K14677
OG0009407	K12736
OG0005283	K22939
OG0007120	K04554
OG0002277	K17757
OG0000267	K22684
OG0003291	K11592
OG0009510	K07179
OG0002399	K02727
OG0003864	K08794
OG0006718	K20367
OG0006601	K00472
OG0008116	K10279
OG0001323	K23802
OG0007137	K18819
OG0006255	K06664
OG0003254	K10260
OG0002578	K08826
OG0000888	K00486
OG0006769	K10644
OG0000934	K10899
OG0001933	K00011
OG0005182	K07178
OG0000581	K00855
OG0009675	K05543
OG0008445	K12199
OG0000467	K10367
OG0006040	K03687
OG0000555	K12392
OG0006038	K13448
OG0007249	K17807
OG0005661	K06947
OG0001259	K20028
OG0006010	K06173
OG0001557	K12175
OG0001530	K06794
OG0006128	K11703
OG0002813	K03254
OG0009952	K02959
OG0000569	K09608
OG0003004	K01644
OG0002414	K14165
OG0004729	K01379
OG0005296	K06178
OG0001282	K07299
OG0008469	K08739
OG0006943	K09503
OG0003392	K08193
OG0003723	K02040
OG0002106	K04079
OG0004965	K14411
OG0000487	K03885
OG0002405	K06997
OG0007727	K08716
OG0006108	K14638
OG0000123	K12460
OG0001232	K14803
OG0007843	K20101
OG0003893	K00761
OG0008319	K00140
OG0009920	K16482
OG0000158	K10808
OG0003342	K21806
OG0000937	K09458
OG0004069	K15382
OG0000853	K02471
OG0008565	K01307
OG0007769	K03327
OG0009093	K09191
OG0003349	K02036
OG0008394	K05181
OG0006589	K05021
OG0000183	K04648
OG0008012	K01528
OG0009649	K12823
OG0001318	K21734
OG0005633	K22614
OG0007187	K10420
OG0003204	K13566
OG0001791	K17491
OG0001248	K03347
OG0000165	K01379
OG0008133	K08368
OG0007942	K23500
OG0001820	K07511
OG0006722	K04905
OG0004821	K12603
OG0000088	K01363
OG0008677	K24468
OG0010125	K05291
OG0000272	K08292
OG0001392	K16345
OG0007358	K16862
OG0001506	K03327
OG0003955	K24970
OG0006265	K11068
OG0003223	K11494
OG0001633	K15259
OG0005085	K02945
OG0009860	K20362
OG0008649	K10563
OG0004769	K08292
OG0001057	K09680
OG0004307	K22857
OG0005612	K02151
OG0002661	K10587
OG0009362	K14724
OG0004247	K12843
OG0005329	K20661
OG0001138	K02934
OG0003982	K01886
OG0005415	K02685
OG0000438	K00545
OG0006144	K05692
OG0007934	K07893
OG0004189	K07024
OG0008263	K25442
OG0000298	K03265
OG0008332	K03929
OG0003875	K12460
OG0003532	K04097
OG0007941	K04739
OG0004440	K07399
OG0009448	K20289
OG0006262	K11253
OG0002515	K10746
OG0003578	K17508
OG0002482	K01759
OG0003614	K11168
OG0006468	K10408
OG0002691	K16271
OG0009824	K10974
OG0003715	K11703
OG0003043	K07342
OG0000867	K02183
OG0001431	K10394
OG0009679	K19696
OG0003524	K05302
OG0008770	K14997
OG0000884	K01074
OG0009250	K21424
OG0000752	K00434
OG0003820	K00476
OG0000401	K03063
OG0000691	K12492
OG0006097	K03686
OG0008081	K13207
OG0000025	K14326
OG0007651	K00232
OG0006476	K22866
OG0003594	K18055
OG0002467	K08716
OG0003802	K02219
OG0003412	K00889
OG0007570	K02183
OG0002960	K01216
OG0008533	K10582
OG0010177	K18156
OG0002661	K10615
OG0002073	K22686
OG0006827	K17795
OG0005676	K04978
OG0002963	K03038
OG0003333	K10464
OG0009691	K10863
OG0002264	K07376
OG0005425	K01363
OG0002052	K19679
OG0000001	K17710
OG0006987	K12896
OG0005948	K18729
OG0003165	K02149
OG0003522	K14963
OG0001378	K00871
OG0001947	K20876
OG0004320	K08678
OG0001885	K02115
OG0001814	K26544
OG0003793	K04854
OG0000044	K04849
OG0008562	K12840
OG0006860	K16639
OG0005509	K13412
OG0002890	K10380
OG0006117	K11978
OG0005105	K24229
OG0002080	K02183
OG0004799	K09699
OG0000081	K07376
OG0005301	K25614
OG0003305	K21814
OG0004177	K15637
OG0008044	K10615
OG0000992	K02945
OG0004024	K00939
OG0008281	K00030
OG0000560	K10967
OG0001619	K23728
OG0008632	K13108
OG0003268	K10393
OG0006582	K18932
OG0009651	K21440
OG0004117	K15261
OG0002958	K01195
OG0003251	K11703
OG0005546	K11323
OG0005255	K00981
OG0004796	K03281
OG0002573	K07516
OG0000023	K08857
OG0010144	K14326
OG0002194	K19327
OG0003922	K08902
OG0001956	K13412
OG0001276	K04849
OG0006406	K03574
OG0005348	K14963
OG0002046	K17570
OG0006162	K01191
OG0008359	K10664
OG0007563	K15501
OG0002800	K14570
OG0005390	K16601
OG0001535	K12132
OG0009156	K03514
OG0003133	K02183
OG0003096	K00873
OG0000022	K12818
OG0009782	K01076
OG0000898	K12460
OG0006764	K11169
OG0006891	K07889
OG0006985	K19600
OG0000007	K13612
OG0008990	K14696
OG0009056	K11755
OG0006253	K25378
OG0005422	K26413
OG0000606	K07889
OG0001845	K01885
OG0005206	K07542
OG0000613	K01322
OG0005921	K10860
OG0008192	K03686
OG0002656	K00898
OG0002714	K22762
OG0002027	K09255
OG0001182	K08884
OG0010080	K01599
OG0003685	K04615
OG0005177	K06180
OG0002134	K19269
OG0000359	K10414
OG0001154	K10609
OG0000678	K01835
OG0000050	K04855
OG0003854	K12857
OG0001278	K18598
OG0000620	K15504
OG0001268	K17943
OG0007036	K21804
OG0000457	K10799
OG0000702	K25470
OG0000434	K12132
OG0004549	K10639
OG0009335	K00390
OG0009171	K00020
OG0005925	K03252
OG0002759	K01373
OG0002462	K01586
OG0001216	K08827
OG0000177	K00101
OG0000172	K02212
OG0007080	K03068
OG0006251	K03579
OG0009507	K20367
OG0002859	K12621
OG0007538	K10380
OG0003474	K08339
OG0009184	K06989
OG0002151	K26797
OG0002057	K12343
OG0002256	K01868
OG0004278	K18789
OG0006549	K26544
OG0000343	K08798
OG0000491	K22943
OG0001564	K02350
OG0000550	K01369
OG0000491	K20363
OG0002396	K01785
OG0001146	K10872
OG0006588	K17550
OG0003587	K16608
OG0009628	K01715
OG0009297	K05330
OG0006594	K03978
OG0005312	K04515
OG0005165	K15201
OG0003669	K03688
OG0008016	K24687
OG0000464	K05516
OG0000394	K23025
OG0010111	K03798
OG0009664	K23257
OG0001795	K00433
OG0008977	K17943
OG0008661	K01462
OG0009127	K14079
OG0000130	K09568
OG0000128	K15192
OG0007817	K01365
OG0000232	K16298
OG0004725	K10614
OG0002851	K00699
OG0005641	K13717
OG0001852	K22809
OG0006082	K01285
OG0009585	K08489
OG0009555	K10752
